geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 20; 21; 12; 0.2; 0.3; 10; 21; [1, 4, 10, 20] - 1086; 1864;
2; 21; 16; 4; 0.2; 0.3; 8; 17; [1, 4, 10, 20] - 1086; 1947;
3; 16; 17; 10; 0.6; 0.3; 8; 17; [1, 4, 10, 20] - 1086; 1890;
4; 17; 18; 10; 0.6; 0.3; 9; 18; [1, 4, 10, 20] - 1086; 1864;
5; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 4, 10, 20] - 1163; 1864;
6; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 4, 10, 20] - 1086; 1883;
7; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 4, 10, 20] - 1163; 1883;
8; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 4, 10, 20] - 1086; 1890;
9; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 4, 10, 20] - 1086; 1890;
10; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 4, 10, 20] - 1163; 1890;

