geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 60; 47; 12; 0.2; 0.3; 22; 47; [1, 4, 10, 20] - 1086; 1689;
2; 47; 37; 10; 0.2; 0.3; 18; 38; [1, 4, 10, 20] - 1086; 1587;
3; 37; 29; 8; 0.2; 0.3; 14; 30; [1, 4, 10, 20] - 1086; 1587;
4; 29; 23; 6; 0.2; 0.3; 11; 23; [1, 4, 10, 20] - 1086; 1587;
5; 23; 18; 4; 0.2; 0.3; 9; 18; [1, 4, 10, 20] - 1086; 1844;
6; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 4, 10, 20] - 1163; 1890;
7; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 4, 10, 20] - 1086; 1720;
8; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 4, 10, 20] - 1086; 1890;
9; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 4, 10, 20] - 1086; 1890;
10; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 4, 10, 20] - 1086; 1864;

