geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;taxaMutacao;Nummutacao;NumElitismo;melhor;mediana
1;200;138;40;0.2;0.15;36;138;[1, 3, 23, 33, 49, 55, 57, 70] - 3541;4674
2;138;95;28;0.2;0.15;25;96;[1, 3, 23, 33, 49, 55, 57, 70] - 3541;4424
3;95;66;20;0.2;0.15;18;67;[1, 3, 23, 33, 49, 55, 57, 70] - 3541;4085
4;66;46;14;0.2;0.15;12;46;[1, 3, 23, 33, 49, 55, 57, 70] - 3541;3879
5;46;32;10;0.2;0.15;9;33;[1, 3, 23, 33, 49, 55, 57, 70] - 3541;3804
6;32;22;6;0.2;0.15;6;22;[1, 3, 23, 33, 49, 55, 57, 70] - 3541;3702
7;22;15;4;0.2;0.15;4;15;[1, 3, 23, 33, 49, 55, 57, 70] - 3541;3691
8;15;14;10;0.6;0.15;4;15;[1, 3, 23, 33, 49, 55, 57, 70] - 3541;3541
9;14;13;8;0.6;0.15;4;13;[1, 3, 23, 33, 49, 55, 57, 70] - 3541;3541
10;13;12;8;0.6;0.15;4;13;[1, 3, 23, 33, 49, 55, 57, 70] - 3541;3691
11;12;11;8;0.6;0.15;3;12;[1, 3, 23, 33, 49, 55, 57, 70] - 3541;3717
12;11;10;6;0.6;0.15;3;10;[1, 3, 23, 33, 49, 55, 57, 70] - 3541;3691

