geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; mediana;
1; 200; 138; 40; 0.2; 0.15; 36; 138; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4612;
2; 138; 94; 27; 0.2; 0.15; 24; 95; [1, 3, 23, 33, 49, 55, 57, 70] - 3541; 4244;
3; 94; 64; 18; 0.2; 0.15; 16; 64; [1, 3, 23, 33, 49, 55, 57, 70] - 3541; 4001;
4; 64; 43; 12; 0.2; 0.15; 11; 44; [1, 3, 5, 12, 22, 23, 33, 49, 58, 62, 70] - 3546; 3860;
5; 43; 29; 8; 0.2; 0.15; 7; 29; [1, 3, 5, 12, 22, 23, 33, 49, 58, 62, 70] - 3546; 4167;
6; 29; 19; 5; 0.2; 0.15; 5; 20; [1, 3, 5, 12, 22, 23, 33, 49, 58, 62, 70] - 3546; 4032;
7; 19; 17; 11; 0.6; 0.15; 4; 17; [1, 3, 5, 12, 22, 23, 33, 49, 58, 62, 70] - 3546; 3860;
8; 17; 15; 10; 0.6; 0.15; 4; 16; [1, 3, 5, 12, 22, 23, 33, 49, 58, 62, 70] - 3546; 3711;
9; 15; 13; 9; 0.6; 0.15; 3; 14; [1, 3, 5, 12, 22, 23, 33, 49, 58, 62, 70] - 3546; 3783;
10; 13; 11; 7; 0.6; 0.15; 3; 12; [1, 3, 5, 12, 22, 23, 33, 49, 58, 62, 70] - 3546; 3783;

