geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 40; 31; 8; 0.2; 0.3; 14; 31; [1, 4, 10, 20] - 1086; 1527;
2; 31; 24; 6; 0.2; 0.3; 11; 24; [1, 4, 10, 20] - 1086; 1711;
3; 24; 18; 4; 0.2; 0.3; 8; 18; [1, 4, 10, 20] - 1086; 1814;
4; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 4, 10, 20] - 1086; 2003;
5; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 4, 10, 20] - 1086; 1890;
6; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 2, 4, 10, 20] - 1163; 2003;
7; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 2, 4, 10, 20] - 1163; 1890;
8; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 4, 10, 20] - 1086; 1890;
9; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 4, 10, 20] - 1086; 1864;
10; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 4, 10, 20] - 1086; 1864;

