geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 40; 31; 8; 0.2; 0.3; 14; 31; [1, 3, 5, 12, 13, 15, 20] - 30; 48;
2; 31; 24; 6; 0.2; 0.3; 11; 24; [1, 3, 5, 12, 13, 15, 20] - 30; 48;
3; 24; 18; 4; 0.2; 0.3; 8; 18; [1, 2, 5, 12, 19, 20] - 32; 52;
4; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 5, 10, 13, 19, 20] - 33; 47;
5; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 5, 10, 13, 19, 20] - 33; 47;
6; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 2, 5, 12, 13, 19, 20] - 30; 44;
7; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 8, 9, 13, 15, 20] - 33; 47;
8; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 8, 9, 13, 15, 20] - 33; 47;
9; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 2, 4, 10, 14, 15, 20] - 31; 46;
10; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 2, 3, 5, 12, 13, 15, 20] - 35; 47;

