geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 80; 62; 16; 0.2; 0.3; 29; 63; [1, 4, 10, 20] - 1086; 1718;
2; 62; 48; 12; 0.2; 0.3; 23; 49; [1, 4, 10, 20] - 1086; 1689;
3; 48; 38; 10; 0.2; 0.3; 18; 38; [1, 4, 10, 20] - 1086; 1844;
4; 38; 30; 8; 0.2; 0.3; 14; 30; [1, 4, 10, 20] - 1086; 1890;
5; 30; 23; 6; 0.2; 0.3; 11; 24; [1, 4, 10, 20] - 1086; 1890;
6; 23; 18; 4; 0.2; 0.3; 9; 18; [1, 4, 10, 20] - 1086; 1926;
7; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 4, 10, 20] - 1086; 1997;
8; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 4, 10, 20] - 1086; 1844;
9; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 4, 10, 20] - 1086; 1832;
10; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 4, 10, 20] - 1086; 1864;

