geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 40; 31; 8; 0.2; 0.3; 15; 32; [1, 4, 10, 20] - 1086; 1731;
2; 31; 24; 6; 0.2; 0.3; 12; 25; [1, 4, 10, 20] - 1086; 1731;
3; 24; 18; 4; 0.2; 0.3; 9; 19; [1, 4, 10, 20] - 1086; 1660;
4; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 4, 10, 20] - 1086; 1731;
5; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 4, 10, 20] - 1163; 1890;
6; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 4, 10, 20] - 1163; 1864;
7; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 4, 10, 20] - 1086; 1864;
8; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 4, 10, 20] - 1086; 1864;
9; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 4, 10, 20] - 1086; 1864;
10; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 4, 10, 20] - 1086; 1883;

