geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; mediana;
1; 20; 18; 12; 0.2; 0.15; 4; 18; [1, 2, 9, 21, 23, 33, 46, 49, 55, 58, 62, 70] - 4181; 4403;
2; 18; 16; 10; 0.6; 0.15; 4; 16; [1, 2, 9, 21, 23, 33, 46, 49, 55, 58, 62, 70] - 4181; 4336;
3; 16; 14; 9; 0.6; 0.15; 3; 14; [1, 2, 9, 21, 23, 33, 46, 49, 55, 58, 62, 70] - 4181; 4336;
4; 14; 12; 8; 0.6; 0.15; 3; 13; [1, 2, 9, 21, 23, 33, 46, 49, 55, 58, 62, 70] - 4181; 4336;
5; 12; 10; 7; 0.6; 0.15; 2; 11; [1, 2, 9, 21, 23, 33, 46, 49, 55, 58, 62, 70] - 4181; 4336;

